name,denomination,address
Abbott Baptist Church,Baptist,"PO Box 38, Abbott, TX 76621"
Spanish Nazarene Church,,"PO Box 794, Abernathy, TX 79311"
Abernathy Church of The Nazarene,,"PO Box 517, Abernathy, TX 79311"
First Assembly of God,,"PO Box 757, Abernathy, TX 79311"
Faithful Pentecostal Ministries Inc,Pentecostal,"505 Avenue F, Abernathy, TX 79311"
Abernathy United Church,Protestant / Evangelical,"704 Avenue D, Abernathy, TX 79311"
Nlbb Minstries Not Lucky But Blessed Ministries,Christian / General,"1506 Avenue D, Abernathy, TX 79311"
Wylie Christian Church,,"6250 Buffalo Gap Rd, Abilene, TX 79606"
President of Sonrise Ministries,Christian / General,"1809 Wildlife Trails Pkwy, Abilene, TX 79601"
Wildfire Global Church,Other Religion,"3032 Primrose Cir, Abilene, TX 79606"
Overflow Worship Center Inc,Christian / General,"2026 Green St, Abilene, TX 79603"
Loving Individuals Generatinghealing Today,Protestant / Evangelical,"3242 Beltway S, Abilene, TX 79606"
River of Life Church,Christian / General,"539 S Us Highway 83, Abilene, TX 79602"
Ridgecrest Baptist Church Ofabilene Inc,Baptist,"773 Kenwood Dr, Abilene, TX 79601"
Templo Getsemani,,"2001 Park Ave, Abilene, TX 79603"
Tig Ministries Inc,Protestant / Evangelical,"2350 Old Orchard Rd, Abilene, TX 79605"
Abounding Fellowship,Christian / General,"2302 Sylvan Dr, Abilene, TX 79605"
St Vincent Pallotti Catholic Church-Abilene,Catholic,"2525 Westview Dr, Abilene, TX 79603"
St Francis of Assisi Catholic Church-Abilene,Catholic,"826 Cottonwood St, Abilene, TX 79601"
