name,denomination,address,phone,website,matched,match_detail
Abbott Baptist Church,Baptist,"PO Box 38, Abbott, TX 76621",(254) 582-2376,,yes,"Abbott Baptist Church — 234 Mesquite St, Abbott, TX 76621, USA"
Spanish Nazarene Church,,"PO Box 794, Abernathy, TX 79311",(806) 298-2971,,yes,"First Church of the Nazarene — 511 Avenue E, Abernathy, TX 79311, USA"
Abernathy Church of The Nazarene,,"PO Box 517, Abernathy, TX 79311",(806) 298-2971,,yes,"First Church of the Nazarene — 511 Avenue E, Abernathy, TX 79311, USA"
First Assembly of God,,"PO Box 757, Abernathy, TX 79311",,,no,"no confident match (name similarity 0.17 < 0.5). top result: ""First Baptist Church Abernathy"" — 411 7th St, Abernathy, TX 79311, USA"
Faithful Pentecostal Ministries Inc,Pentecostal,"505 Avenue F, Abernathy, TX 79311",,,no,"no confident match (name similarity 0.33 < 0.5). top result: ""Faithful Path International Ministries"" — 1154 W Monte Cristo Rd, Edinburg, TX 78541, USA"
Abernathy United Church,Protestant / Evangelical,"704 Avenue D, Abernathy, TX 79311",(806) 298-2581,https://www.abernathyunited.com/,yes,"Abernathy United Church — 704 Ave D, Abernathy, TX 79311, USA"
Nlbb Minstries Not Lucky But Blessed Ministries,Christian / General,"1506 Avenue D, Abernathy, TX 79311",,,no,"no confident match (name similarity 0.00 < 0.5). top result: ""Abernathy United Church"" — 704 Ave D, Abernathy, TX 79311, USA"
Wylie Christian Church,,"6250 Buffalo Gap Rd, Abilene, TX 79606",(325) 665-9241,https://www.wyliechristianchurch.org/,yes,"Wylie Christian Church — 6250 Buffalo Gap Rd, Abilene, TX 79606, USA"
President of Sonrise Ministries,Christian / General,"1809 Wildlife Trails Pkwy, Abilene, TX 79601",,,yes,"Sonrise Ministries — 3516 N 6th St, Abilene, TX 79603, USA"
Wildfire Global Church,Other Religion,"3032 Primrose Cir, Abilene, TX 79606",,,closed,"Wildfire Global Church — 3032 Primrose Cir, Abilene, TX 79606, USA [permanently closed]"
Overflow Worship Center Inc,Christian / General,"2026 Green St, Abilene, TX 79603",,,yes,"Overflow Worship Center — 2958 Grape St, Abilene, TX 79601, USA"
Loving Individuals Generatinghealing Today,Protestant / Evangelical,"3242 Beltway S, Abilene, TX 79606",,,no,"no confident match (name similarity 0.00 < 0.5). top result: ""Brain and Heart Healing, PLLC"" — 500 Chestnut St Ste 203, Abilene, TX 79602, USA"
River of Life Church,Christian / General,"539 S Us Highway 83, Abilene, TX 79602",(325) 698-8502,http://www.theriverabilene.com/,yes,"River of Life Church — 539 US-83, Abilene, TX 79602, USA"
Ridgecrest Baptist Church Ofabilene Inc,Baptist,"773 Kenwood Dr, Abilene, TX 79601",,,no,"no confident match (name similarity 0.33 < 0.5). top result: ""Elmcrest Baptist Church"" — 517 N Pioneer Dr, Abilene, TX 79603, USA"
Templo Getsemani,,"2001 Park Ave, Abilene, TX 79603",,,no,"no confident match (name similarity 0.00 < 0.5). top result: ""Gethsemane Spanish Assembly"" — 2001 Park Ave, Abilene, TX 79603, USA"
Tig Ministries Inc,Protestant / Evangelical,"2350 Old Orchard Rd, Abilene, TX 79605",,,no,"no confident match (name similarity 0.17 < 0.5). top result: ""True Light Global Ministries"" — 1164 Minter Ln, Abilene, TX 79603, USA"
Abounding Fellowship,Christian / General,"2302 Sylvan Dr, Abilene, TX 79605",,http://www.aboundingfellowship.com/,yes,"Abounding Fellowship — 949 S 14th St, Abilene, TX 79602, USA"
St Vincent Pallotti Catholic Church-Abilene,Catholic,"2525 Westview Dr, Abilene, TX 79603",(325) 672-1794,http://www.stvincent-pallotti.org/,yes,"St Vincent Pallotti Catholic Church — 2525 Westview Dr, Abilene, TX 79603, USA"
St Francis of Assisi Catholic Church-Abilene,Catholic,"826 Cottonwood St, Abilene, TX 79601",(325) 672-6695,http://www.stfrancisabilene.com/,yes,"Saint Francis Catholic Church, Abilene — 826 Cottonwood St, Abilene, TX 79601, USA"
