name,denomination,address,phone,website,matched,match_detail
Crossbridge Community Church Of San Antonio,,"25700 OVERLOOK PKWY, SAN ANTONIO, TX 78260-2599",(210) 496-0158,http://www.crossbridgecommunitychurch.com/,yes,"CrossBridge Community Church — 25700 Overlook Pkwy, San Antonio, TX 78260, USA"
Christ Redeeming Community Church,,"787 G ST, SAN ANTONIO, TX 78220-4215",(210) 213-5496,https://www.christredeeming.org/,yes,"Christ Redeeming Community Church — 787 G St, San Antonio, TX 78220, USA"
Galilea Church,,"1060 DONALDSON AVE, SAN ANTONIO, TX 78228-5159",,,no,"no confident match (name similarity 0.20 < 0.5). top result: ""Greater Galilee Baptist Church"" — 219 Joy St, San Antonio, TX 78212, USA"
Mt Horeb International Prayer Camp Ministries Inc,Christian / General,"PO BOX 10938, SAN ANTONIO, TX 78210-0938",,,no,"no confident match (name similarity 0.00 < 0.5). top result: ""Mount Evans Drive"" — Mount Evans Dr, San Antonio, TX 78251, USA"
Lively Stone International Christian Church,Christian / General,"1639 DAWSON ST, SAN ANTONIO, TX 78202-2403",(210) 226-1234,http://www.livelystoneministries.com/,yes,"Lively Stone International Christian — 1639 Dawson St, San Antonio, TX 78202, USA"
Trinity Presbyterian Church,Presbyterian,"31 AMMANN RD, BOERNE, TX 78015-4593",(830) 815-1212,http://www.trinityboerne.org/,yes,"Trinity Presbyterian Church — 31 Ammann Rd, Boerne, TX 78015, USA"
Issues Of Life Ministrys,Christian / General,"13407 PECAN STABLE, HELOTES, TX 78023-4216",,,no,"no confident match (name similarity 0.20 < 0.5). top result: ""His Life Ministries"" — 1307 Blanco Woods, San Antonio, TX 78248, USA"
Gospel Of Truth Church Of The Living God International Inc,,"7043 BANDERA RD, SAN ANTONIO, TX 78238-1266",,,no,"no confident match (wrong state). top result: ""Church of the Living God International"" — 2600 McCutcheon Rd, Columbus, OH 43219, USA"
Mercy Church San Antonio,,"8311 S ZARZAMORA ST, SAN ANTONIO, TX 78224-1757",(210) 922-7017,http://www.mercysa.church/,yes,"Mercy Church San Antonio — 8311 S Zarzamora St, San Antonio, TX 78224, USA"
Christian Faith Bible Church,Christian / General,"6834 COLUMBIA RDG, CONVERSE, TX 78109-3419",,,no,"no confident match (name similarity 0.40 < 0.5). top result: ""Maranatha Bible Church"" — 7855 TX-1604 Loop, Converse, TX 78109, USA"
Triumphant Word Christian Center,Christian / General,"7042 ALAMO DOWNS PKWY STE 600, SAN ANTONIO, TX 78238-4523",(210) 726-6623,http://www.twcc-sa.org/,yes,"Triumphant Word Christian Center — 7042 Alamo Downs Pkwy Ste 600, San Antonio, TX 78238, USA"
Redeeming Grace African Methodist Episcopal Cion Church,Methodist,"1690 RIGSBY AVE, SAN ANTONIO, TX 78210-3215",,,no,"no confident match (name similarity 0.33 < 0.5). top result: ""Redeeming Grace AME Zion Church"" — 1690 Rigsby Ave, San Antonio, TX 78210, USA"
Genesis Church Of San Antonio,,"414 MISSION ST, SAN ANTONIO, TX 78210-1742",,,no,"no confident match (name similarity 0.14 < 0.5). top result: ""Genesis Full Life Fellowship"" — 15549 Toepperwein Rd, San Antonio, TX 78233, USA"
Servants Of Servants Ministries,Christian / General,"1624 SANTA FE TRAIL DR, SAN ANTONIO, TX 78232-6103",,,no,"no confident match (name similarity 0.20 < 0.5). top result: ""Missionary Servants-St Anthony"" — 100 Peter Baque Rd, San Antonio, TX 78209, USA"
Mamrock Ministries Inc,Christian / General,"17503 LA CANTERA PRKWY STE 104193, SAN ANTONIO, TX 78257-8207",,,no,"no confident match (name similarity 0.00 < 0.5). top result: ""NorthRock Church"" — 1278 N Loop 1604 E, San Antonio, TX 78232, USA"
Beacon Light Covenant Ministries,Christian / General,"244 BRUSH TRAIL BND, CIBOLO, TX 78108-4225",,,no,"no confident match (name similarity 0.00 < 0.5). top result: ""St. Paul Evangelical Church"" — 108 S Main St, Cibolo, TX 78108, USA"
Romanian Media Ministries Inc,Christian / General,"PO BOX 700368, SAN ANTONIO, TX 78270-0368",,,no,"no confident match (name similarity 0.17 < 0.5). top result: ""Bethany Romanian Church"" — 26347 Boerne Stage Rd, Boerne, TX 78006, USA"
Earl And Mary Hendricks Ministries Inc,Christian / General,"8643 ANDERSON CV, CONVERSE, TX 78109-1938",,,no,"no confident match (name similarity 0.00 < 0.5). top result: ""Higher Ground Christian Worship Center"" — 9760 Rocket Ln, Converse, TX 78109, USA"
Edem Hopeson Ministries,Christian / General,"PO BOX 10077, SAN ANTONIO, TX 78210-0077",,,no,"no confident match (name similarity 0.17 < 0.5). top result: ""House of Prayer and Evangelism Ministries"" — 5121 Crestway Dr Ste 507, Windcrest, TX 78239, USA"
Be Broken Ministries Inc,Christian / General,"8235 AGORA PKWY STE 111 PMB 167, SELMA, TX 78154-1335",,,no,"no Places results for: Be Broken Ministries Inc, SELMA, TX"
