name,denomination,address
Crossbridge Community Church Of San Antonio,,"25700 OVERLOOK PKWY, SAN ANTONIO, TX 78260-2599"
Lighthouse Christian Fellowship,Christian / General,"301 MAIN PLZ PMB 211, NEW BRAUNFELS, TX 78130-5136"
Christ Redeeming Community Church,,"787 G ST, SAN ANTONIO, TX 78220-4215"
Galilea Church,,"1060 DONALDSON AVE, SAN ANTONIO, TX 78228-5159"
Mt Horeb International Prayer Camp Ministries Inc,Christian / General,"PO BOX 10938, SAN ANTONIO, TX 78210-0938"
Lively Stone International Christian Church,Christian / General,"1639 DAWSON ST, SAN ANTONIO, TX 78202-2403"
Trinity Presbyterian Church,Presbyterian,"31 AMMANN RD, BOERNE, TX 78015-4593"
Issues Of Life Ministrys,Christian / General,"13407 PECAN STABLE, HELOTES, TX 78023-4216"
New Evangelist Ministries International,Christian / General,"PO BOX 700355, SAN ANTONIO, TX 78270-0355"
Gospel Of Truth Church Of The Living God International Inc,,"7043 BANDERA RD, SAN ANTONIO, TX 78238-1266"
Mercy Church San Antonio,,"8311 S ZARZAMORA ST, SAN ANTONIO, TX 78224-1757"
Christian Faith Bible Church,Christian / General,"6834 COLUMBIA RDG, CONVERSE, TX 78109-3419"
Triumphant Word Christian Center,Christian / General,"7042 ALAMO DOWNS PKWY STE 600, SAN ANTONIO, TX 78238-4523"
Redeeming Grace African Methodist Episcopal Cion Church,Methodist,"1690 RIGSBY AVE, SAN ANTONIO, TX 78210-3215"
Genesis Church Of San Antonio,,"414 MISSION ST, SAN ANTONIO, TX 78210-1742"
Servants Of Servants Ministries,Christian / General,"1624 SANTA FE TRAIL DR, SAN ANTONIO, TX 78232-6103"
Mamrock Ministries Inc,Christian / General,"17503 LA CANTERA PRKWY STE 104193, SAN ANTONIO, TX 78257-8207"
Resurrection Cemetery Administry Of The Cordi-Marian Sisters,Christian / General,"11624 W FM 471 OFC 501, SAN ANTONIO, TX 78253-9337"
Beacon Light Covenant Ministries,Christian / General,"244 BRUSH TRAIL BND, CIBOLO, TX 78108-4225"
Romanian Media Ministries Inc,Christian / General,"PO BOX 700368, SAN ANTONIO, TX 78270-0368"
Earl And Mary Hendricks Ministries Inc,Christian / General,"8643 ANDERSON CV, CONVERSE, TX 78109-1938"
Edem Hopeson Ministries,Christian / General,"PO BOX 10077, SAN ANTONIO, TX 78210-0077"
Be Broken Ministries Inc,Christian / General,"8235 AGORA PKWY STE 111 PMB 167, SELMA, TX 78154-1335"
Discovery Church Of The Assemblies Of God,,"242 COUNTRY LN, CIBOLO, TX 78108-3932"
St Anthony Catholic High School Texas Inc,Catholic,"3200 MCCULLOUGH AVE, SAN ANTONIO, TX 78212-3021"
Corazon Ministries Inc,Christian / General,"126 GONZALES ST STE 200, SAN ANTONIO, TX 78205-4402"
Grace Church Of San Antonio,,"239 N LOOP 1604 W, SAN ANTONIO, TX 78232-1027"
Christ Is Life Ministries,Christian / General,"212 WINDSOR DR, BOERNE, TX 78006-3565"
Living Word Christian Center Inc,Christian / General,"2029 PRIMROSE LN, SCHERTZ, TX 78154-3024"
Iron Sharpens Iron Ministries Inc,Christian / General,"7800 W INTERSTATE 10 STE 505, SAN ANTONIO, TX 78230-4723"
Living Word World Ministries,Christian / General,"3802 CROSSETTE DR, SAN ANTONIO, TX 78228-2005"
Hope House Ministries,Christian / General,"430 N CHERRY ST, SAN ANTONIO, TX 78202-2211"
Confraternidad De Iglesias Cristianas Hispana Usa,,"5642 MONTEREY ST, SAN ANTONIO, TX 78237-1884"
St George Indian Orthodox Church,Orthodox,"PO BOX 692174, SAN ANTONIO, TX 78269-2174"
His Greater Works Ministry,Christian / General,"3122 CLEARFIELD DR, SAN ANTONIO, TX 78230-3414"
All Nations Church-Onnuri At San Antonio,,"1250 HOLBROOK, SAN ANTONIO, TX 78218-3327"
Church Of Living God The Pillar And Ground Of The Truth Of Richmond,,"7307 BIRCH STAGE, SAN ANTONIO, TX 78244-2341"
Sword Of Truth Church Of God And Christ,Church of God,"4444 WALZEM RD STE 201, SAN ANTONIO, TX 78218-2043"
Light Shine Ministries,Christian / General,"30444 FM 3009, NEW BRAUNFELS, TX 78132-2630"
Journey Church San Antonio,,"12758 CIMARRON PATH, SAN ANTONIO, TX 78249-3426"
Grace International Churches And Ministries Inc,Christian / General,"251 ALTITUDE DR, SAN ANTONIO, TX 78227-3305"
Gathering Of His Grace Church Inc,,"102 SPRINGVALE DR, SAN ANTONIO, TX 78227-4448"
Sion Romanian Baptist Church,Baptist,"5047 DE ZAVALA RD, SAN ANTONIO, TX 78249-2024"
Bringing In The Sheep Ministries Inc,Christian / General,"200 PEALE CT, CIBOLO, TX 78108-4211"
Davila Family Ministries,Christian / General,"10715 RIVERA CV, SAN ANTONIO, TX 78249-3918"
Christ Healing Center Ministries,Christian / General,"PO BOX 12778, SAN ANTONIO, TX 78212-0778"
My Fathers House Church Inc,,"PO BOX 34313, SAN ANTONIO, TX 78265-4313"
