name,denomination,address,phone,website,matched,match_detail
Lighthouse Christian Fellowship,Christian / General,"301 MAIN PLZ PMB 211, NEW BRAUNFELS, TX 78130-5136",(830) 837-5910,https://www.facebook.com/lighthouseon725/,closed,"Lighthouse Christian Fellowship — 2719 FM725, New Braunfels, TX 78130, USA [permanently closed]"
New Evangelist Ministries International,Christian / General,"PO BOX 700355, SAN ANTONIO, TX 78270-0355",(210) 557-0851,,closed,"New Evangelist Ministries International — 12403 Nacogdoches Rd #110, San Antonio, TX 78217, USA [permanently closed]"
Peace Community Church,,"PO BOX 681757, SAN ANTONIO, TX 78268-1757",(210) 691-8419,,closed,"Peace Community Church — 11025 Pomona Park, San Antonio, TX 78249, USA [permanently closed]"
Iglesia Familia Cristiana,,"9819 DARTMOOR PONY, SAN ANTONIO, TX 78254-4707",(210) 521-6121,http://iglesiafamiliacristiana.com/,closed,"Iglesia Familia Cristiana — 7530 Bandera Rd #140, San Antonio, TX 78238, USA [permanently closed]"
Word And Spirit Church,,"PO BOX 953, CIBOLO, TX 78108-0953",(210) 658-0910,,closed,"Word & Spirit Church — 814 Main St # C, Schertz, TX 78154, USA [permanently closed]"
Community Bible Church Northwest,,"8118 TEZEL RD, SAN ANTONIO, TX 78250-3032",,http://www.cbcnorthwest.com/,closed,"Community Bible Church Northwest — 8118 Tezel Rd, San Antonio, TX 78250, USA [permanently closed]"
Prevailing Truth Ministries,Christian / General,"1937 SQUIRE CIR, NEW BRAUNFELS, TX 78130-8357",(830) 221-5900,,closed,"Prevailing Truth Church — 252 S Kowald Ln, New Braunfels, TX 78130, USA [permanently closed]"
Community Bible Church - Boerne,,"1002 RIVER RD SUITE 200B, BOERNE, TX 78006-2442",,,closed,"Community Bible Church — 17 Old San Antonio Rd, Boerne, TX 78006, USA [permanently closed]"
Spirit Of Grace Christian Fellowship Inc,Christian / General,"3602 INVICTA DR, SAN ANTONIO, TX 78218-3309",(726) 582-7554,http://kingjesusibc.com/,closed,"Spirit of Grace Christian Fellowship — 10323 U.s. Hwy 181, San Antonio, TX 78223, USA [permanently closed]"
Creekside Fellowship,Christian / General,"PO BOX 310312, NEW BRAUNFELS, TX 78131-0312",(830) 708-7505,,closed,"Creekside Fellowship — 2405 Lifehaus Industrial Dr, New Braunfels, TX 78130, USA [permanently closed]"
St Jose Sanchez Del Rio Catholic School,Catholic,"21140 GATHERING OAK, SAN ANTONIO, TX 78260-3196",(210) 497-5192,http://stjoselito.faith/,closed,"St. Jose Sanchez del Rio Catholic School — 21140 Gathering Oak, San Antonio, TX 78260, USA [permanently closed]"
Movement Church Of San Antonio,,"19314 US HWY 281 N 107, SAN ANTONIO, TX 78259-0000",,,closed,"The Movement Church of San Antonio — None, San Antonio, TX 78248, USA [permanently closed]"
St Mary Queen Of Heaven Anglican Church,,"24019 SEVEN WINDS, SAN ANTONIO, TX 78258-7266",(210) 573-9860,,closed,"St Mary Queen of Heaven Anglican Church — 112 Soledad St, San Antonio, TX 78205, USA [permanently closed]"
Word A Flame Outreach Ministries Inc,Christian / General,"10434 OVERLAND CRK, SAN ANTONIO, TX 78245-2331",,,closed,"Word A Flame Outreach Ministries — 7870 Culebra Rd #19, San Antonio, TX 78251, USA [permanently closed]"
Quest Church Of New Braunfels,,"PO BOX 310841, NEW BRAUNFELS, TX 78131-0841",(210) 378-5675,http://www.questchurchnb.com/,closed,"Quest Church: New Braunfels — 4102 TX-337 Loop, New Braunfels, TX 78130, USA [permanently closed]"
Rolling Oaks Christian Church,Christian / General,"13777 JUDSON RD STE 110, SAN ANTONIO, TX 78233-4552",(210) 654-1744,,closed,"Rolling Oaks Christian Church — 13777 Judson Rd #111, San Antonio, TX 78233, USA [permanently closed]"
La Trinidad Assemblies Of God Church,,"PO BOX 100141, SAN ANTONIO, TX 78201-1441",(210) 733-0849,,closed,"La Trinidad Assembly of God — San Antonio, TX 78201, USA [permanently closed]"
Community Christian Church,Christian / General,"156 CAMP WILLOW RD, NEW BRAUNFELS, TX 78130-1804",(830) 620-7174,,closed,"Community Christian Church — 1750 McQueeney Rd, New Braunfels, TX 78130, USA [permanently closed]"
East Commerce Church Of Christ,Church of Christ,"2706 E COMMERCE ST, SAN ANTONIO, TX 78203-2112",(210) 648-0255,,closed,"East Commerce Church of Christ — 2706 E Commerce St, San Antonio, TX 78203, USA [permanently closed]"
Sheltering Arms Full Gospel Church,,"926 STEVES AVE, SAN ANTONIO, TX 78210-3926",(210) 533-7348,,closed,"Sheltering Arms Full Gospel — 926 Steves Ave, San Antonio, TX 78210, USA [permanently closed]"
Fountain Of Life Christian Center Inc,Christian / General,"7704 FOREST ARBOR, LIVE OAK, TX 78233-4319",,,closed,"Fountain of Life Christian Center — 5317 Walzem Rd, San Antonio, TX 78218, USA [permanently closed]"
Spanish Baptist Missions,Baptist,"PO BOX 311655, NEW BRAUNFELS, TX 78131-1655",(210) 615-1945,,closed,"Spanish Baptist Missions — 7010 Baywater Dr, San Antonio, TX 78229, USA [permanently closed]"
Lord Of Life Lutheran Church,Lutheran,"5955 FM 78, SAN ANTONIO, TX 78244-1001",(210) 661-6555,,closed,"Lord of Life Lutheran Church — 5955 FM78, San Antonio, TX 78244, USA [permanently closed]"
Empowering Grace Christian Center,Christian / General,"PO BOX 1335, CONVERSE, TX 78109-4335",(210) 564-9073,http://www.egccsa.org/contact-us.html,closed,"Empowering Grace Christian Center — 401 Porter St, San Antonio, TX 78210, USA [permanently closed]"
Livingstone Family Church,,"2746 FRONTIER DR, SAN ANTONIO, TX 78227-4069",(210) 592-1111,https://m.facebook.com/LivingstoneFamlyChurch/,closed,"Livingstone Family Church — 8403 SW Loop 410, San Antonio, TX 78242, USA [permanently closed]"
Iglesia Renacer Inc,,"7806 MAINLAND WOODS, SAN ANTONIO, TX 78250-6022",,https://iglesiarenace.org/,closed,"Iglesia Renace — 96 Crossroads Blvd, Balcones Heights, TX 78201, USA [permanently closed]"
Living Waters Community Church Inc,,"PO BOX 10537, SAN ANTONIO, TX 78210-0537",,,closed,"Living Waters Community Church — 12823 Nacogdoches Rd, San Antonio, TX 78217, USA [permanently closed]"
