name,denomination,address,phone,website,matched,match_detail
Resurrection Cemetery Administry Of The Cordi-Marian Sisters,Christian / General,"11624 W FM 471 OFC 501, SAN ANTONIO, TX 78253-9337",(210) 798-8220,http://cordi-marian.org/,yes,"Cordi Marian Sisters, Resurrection Cemetery and Retreat Center — F7RC+PQ, 11624 Culebra Rd, San Antonio, TX 78253, USA"
St Anthony Catholic High School Texas Inc,Catholic,"3200 MCCULLOUGH AVE, SAN ANTONIO, TX 78212-3021",(210) 832-5600,http://www.sachs.org/,yes,"St. Anthony Catholic High School — 3200 McCullough Ave, San Antonio, TX 78212, USA"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625",(210) 828-9921,http://www.cliu.com/,yes,"Catholic Life Insurance — 1635 NE Interstate 410 Loop, San Antonio, TX 78209, USA"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625",(210) 828-9921,http://www.cliu.com/,yes,"Catholic Life Insurance — 1635 NE Interstate 410 Loop, San Antonio, TX 78209, USA"
Catholic Life Insurance - 3 Westphalia,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625",(210) 828-9921,http://www.cliu.com/,yes,"Catholic Life Insurance — 1635 NE Interstate 410 Loop, San Antonio, TX 78209, USA"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625",(210) 828-9921,http://www.cliu.com/,yes,"Catholic Life Insurance — 1635 NE Interstate 410 Loop, San Antonio, TX 78209, USA"
Catholic Life Insurance - 5 Weimar,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625",(210) 828-9921,http://www.cliu.com/,yes,"Catholic Life Insurance — 1635 NE Interstate 410 Loop, San Antonio, TX 78209, USA"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625",(210) 828-9921,http://www.cliu.com/,yes,"Catholic Life Insurance — 1635 NE Interstate 410 Loop, San Antonio, TX 78209, USA"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625",(210) 828-9921,http://www.cliu.com/,yes,"Catholic Life Insurance — 1635 NE Interstate 410 Loop, San Antonio, TX 78209, USA"
Catholic Life Insurance - 9 New Braunfels,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625",(210) 828-9921,http://www.cliu.com/,yes,"Catholic Life Insurance — 1635 NE Interstate 410 Loop, San Antonio, TX 78209, USA"
