name,denomination,address,phone,website,matched,match_detail
Cufi Church Association,,"18410 SONTERRA PL STE 100, SAN ANTONIO, TX 78258-4785",,,no,"no confident match (name similarity 0.25 < 0.5). top result: ""CUFI Foundation"" — 18410 Sonterra Pl, San Antonio, TX 78258, USA"
International Association Ofevangelical Chaplains Inc,Protestant / Evangelical,"8831 PINERIDGE RD, SAN ANTONIO, TX 78217-5831",(512) 348-5307,https://www.christianchaplains.net/contact/,yes,"International Association of Christian Chaplains — 5804 Babcock Rd, San Antonio, TX 78240, USA"
Air Force Village I Catholic Chapel Association,Catholic,"4917 RAVENSWOOD DR APT 114, SAN ANTONIO, TX 78227-4338",,,no,"no confident match (name similarity 0.20 < 0.5). top result: ""Air Force Villages Charitable Foundation"" — 5100 John D Ryan Blvd, San Antonio, TX 78245, USA"
Council Of Churches Of Metropolitan San Antonio,,"285 OBLATE DR 326, SAN ANTONIO, TX 78216-6631",,,no,"no confident match (name similarity 0.38 < 0.5). top result: ""Metropolitan Community Church (MCC) San Antonio"" — 611 E Myrtle St, San Antonio, TX 78212, USA"
San Antonio Baptist Association,Baptist,"5807 IH 10 WEST, SAN ANTONIO, TX 78201-2800",,,no,"no confident match (name similarity 0.00 < 0.5). top result: ""SABA"" — 5807 I-10, San Antonio, TX 78201, USA"
Bluebonnet Baptist Association,Baptist,"1424 N BUSINESS I-35, NEW BRAUNFELS, TX 78130-0000",(830) 629-7674,http://www.bluebonnetbaptist.org/,yes,"Bluebonnet Baptist Association — 1424, S Business IH 35, New Braunfels, TX 78130, USA"
San Antonio Lutheran Charity Coronation Association,Lutheran,"212 LEMONWOOD DR, CASTLE HILLS, TX 78213-0000",,,no,"no confident match (name similarity 0.00 < 0.5). top result: ""Castle Hills Christian Church"" — 6209 West Ave, San Antonio, TX 78213, USA"
Kingdom Council Of Interdependent Christian Churches And Ministries,Christian / General,"8700 FOURWINDS DR, WINDCREST, TX 78239-1917",,,no,"no confident match (name similarity 0.38 < 0.5). top result: ""Kingdom Life Christian Ministries Inc."" — 10635 I-35, San Antonio, TX 78233, USA"
Churchill Orchestra Booster Association,,"PO BOX 160153, SAN ANTONIO, TX 78280-2353",,,no,"no confident match (name similarity 0.33 < 0.5). top result: ""Pieper Orchestra Booster Club"" — 1400 Kinder Pkwy, San Antonio, TX 78260, USA"
Churchill Speech & Debate Association,,"12049 BLANCO RD, SAN ANTONIO, TX 78216-2411",,,no,"no confident match (name similarity 0.17 < 0.5). top result: ""Churchill Baptist Church"" — 12400 Vista View St, San Antonio, TX 78231, USA"
Knanaya Catholic Society Of San Antonio,Catholic,"13321 ROMULUS WAY, SAN ANTONIO, TX 78245-4795",,,no,"no confident match (name similarity 0.22 < 0.5). top result: ""St. Anthony's Knanaya Catholic Church"" — 9345 Oakland Rd, San Antonio, TX 78240, USA"
Christian Ministries Association Inc,Christian / General,"13818 SHAVANO BREEZE, SAN ANTONIO, TX 78230-5855",,,no,"no confident match (name similarity 0.17 < 0.5). top result: ""Christian Assistance Ministry"" — 110 McCullough Ave, San Antonio, TX 78215, USA"
